team name,division,wins,losses,conference wins,conference losses,division wins,division losses
Atlanta Hawks,Southeast,41,41,26,26,8,8
Boston Celtics,Atlantic,57,25,34,18,11,5
Brooklyn Nets,Atlantic,45,37,30,22,7,9
Charlotte Hornets,Southeast,27,55,15,37,7,9
Chicago Bulls,Central,40,42,27,25,7,9
Cleveland Cavaliers,Central,51,31,34,18,13,3
Dallas Mavericks,Southwest,38,44,28,24,9,7
Denver Nuggets,Northwest,53,29,34,18,10,6
Detroit Pistons,Central,17,65,8,44,2,14
Golden State Warriors,Pacific,44,38,30,22,7,9
Houston Rockets,Southwest,22,60,12,40,4,12
Indiana Pacers,Central,35,47,24,28,7,9
LA Clippers,Pacific,44,38,27,25,9,7
Los Angeles Lakers,Pacific,43,39,27,25,6,10
Memphis Grizzlies,Southwest,51,31,30,22,13,3
Miami Heat,Southeast,44,38,24,28,10,6
Milwaukee Bucks,Central,58,24,35,17,11,5
Minnesota Timberwolves,Northwest,42,40,29,23,8,8
New Orleans Pelicans,Southwest,42,40,29,23,11,5
New York Knicks,Atlantic,47,35,32,20,8,8
Oklahoma City Thunder,Northwest,40,42,25,27,9,7
Orlando Magic,Southeast,34,48,20,32,7,9
Philadelphia 76ers,Atlantic,54,28,34,18,10,6
Phoenix Suns,Pacific,45,37,30,22,9,7
Portland Trail Blazers,Northwest,33,49,23,29,7,9
Sacramento Kings,Pacific,48,34,32,20,9,7
San Antonio Spurs,Southwest,22,60,10,42,3,13
Toronto Raptors,Atlantic,41,41,26,26,4,12
Utah Jazz,Northwest,37,45,24,28,6,10
Washington Wizards,Southeast,35,47,21,31,8,8
